business_id,name,address,review_count,rating,zipcode,cuisine
eTR6nfHvQzvKX7Dcd6JrfA,District Social,252 W 37th St,732,4.0,10018,Other
xTWpl9DgIkkr5B8h8_xUpA,Lokal 83 Mediterranean Kitchen,473 Columbus Ave,472,4.5,10024,Mediterranean
H4jJ7XB3CetIr1pg56CczQ,Levain Bakery - New York,167 W 74th St,9661,4.5,10023,Other
KIIYvTOc0Uv90aUHEGvoSg,La Grenouille,3 E 52nd St,495,4.0,10022,French
hDgpiXE5_d4Is1sJ5kUBQg,Wine 30,41 E 30th St,836,4.0,10016,Mediterranean
wyjtGsW5NeVDknGQWnIPAQ,wagamama - midtown,100 W 55th St,349,4.0,10019,Other
iTj5T_jPYvznd1QTgs7NZw,Nai ,84 2nd Ave,1083,4.5,10003,Spanish
r-EDS_eO70HUgDmOk5_8Qw,Juniper Bar,237 W 35th St,663,4.0,10001,Other
eQ4QUGvuHGBzsOrphsVc6A,Kimura,31 St Marks Pl,379,4.5,10003,Japanese
Au1AcsukhrbUfn6oit8tZw,Kochi,652 10th Ave,415,4.5,10036,Korean
9o4y3IqpFDaj8FddJ6oi2A,Clement,700 5th Ave,161,4.0,10019,Other
Jyf4SNiBoU11dp28cGBoqA,Gatsby's Landing Times Square,120 West 44th St,129,4.5,10036,Other
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,1013,4.0,10019,Italian
mIbmzqQ473BUF8cngXXs_Q,Joy Love Club,232 8th Ave,145,4.5,10011,Other
I6optu9x0JAf8oT5lqJ8qw,The Blue Dog Cookhouse & Bar,308 W 50th St,1520,4.0,10019,French
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1016 Lexington Ave,562,4.5,10021,Chinese
mi3r8tPY-nHGfsl-9BGmBw,Sushi By Boū - NoMad,32 E 32nd St,329,4.5,10016,Japanese
VuR3lhMA80aH42jrBM_C8A,Duane Park,308 Bowery,589,4.5,10012,Other
H87m0azdhuw5uo6Y166uUg,Loi Estiatorio,132 W 58th St,461,4.5,10019,Greek
CfWe636m2CAUg4FAdl_zVQ,Ricardo Steak House,2145 2nd Ave,1484,4.0,10029,Other
PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,65 2nd Ave,442,4.5,10003,Mexican
WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,253 W 51st St,5704,4.5,10019,Other
